Content type,ID,Name,Aka,Social identifiers,Authors (IDs),Authors (names),Discipline,Base texts (IDs),Base texts (names),Highest Year,Lowest Year
Work,115279,Śrī-caṇḍa-mahā-roṣaṇa-sādhana,,,,,Buddhism (general),,,,
Person,85856,Śrīcandra,,,,,,,,1530,1530
Person,85467,Sricandrasuri,,,,,,,,1150,1150
Work,92893,Sridaksinamurtidajana,,,86300,Sadāśiva Brahmendra,,,,,
Work,89918,Śrīdānopadeśamālā,,,85559,Devendra Sūri,,,,,
Person,40807,Śrīdāsapaṇḍita,,Paṇḍita,,,,,,1300,1300
Person,109961,Śrīdatta,Śrīdatta Upādhyāya,"Mahopādhyāya, Miśra",,,,,,1310,1250
Person,87783,Śrīdeva,,,,,,,,,
Person,115395,Śrīdevī,,,,,,,,,
Person,114342,Śrīdhara,,,,,,,,,
Person,40993,Śrīdhara,,,,,,,,,
Person,85336,Śrīdhara,,Ācārya,,,,,,991,991
Person,85806,Srīdhara,,,,,,,,1550,1550
Person,86770,Śrīdhara,Śrīdhara (Tryambaka) Śāstri Pāṭhaka,Tryambaka,,,,,,1919,1919
Person,87784,Śrīdhara,,,,,,,,,
Person,106604,Śrīdhara,,Śāṇḍilyagotra,,,,,,939,939
Person,110227,Śrīdhara Sāndhivigrahika,Śrīdhara Sāṃdhivigrahika,,,,,,,1225,1225
Person,85686,Śrīdhara Svāmin,,,,,,,,1400,1400
Person,86761,Śrīdharācārya,,,,,,,,1918,1918
Person,98171,Śrīdharācārya,Śrīdhar Ācārya,Ācārya,,,,,,,
Person,87785,Śrīdharānanda,,,,,,,,,
Person,113545,Śrīdhipa Vajrācārya,,,,,,,,,
Person,113517,Śrīdhipati,,Vajrācārya,,,,,,,
Person,116037,ŚrīGaṅgānanda,,,,,,,,,
Work,115875,Śrī-guhyêśvaryyâṣṭaka,,,,,Buddhism (general),,,,
Work,89665,Śrīguṇaratnakośa,,,85478,Parāśarabhaṭṭa,Viśiṣṭādvaita Vedānta,,,12,12
Person,85211,Śrīgupta,,,,,,,,690,690
Work,88462,Śrīguptasūtra,,,,,,,,535,535
Person,115129,Śrīharṣa,,,,,,,,,
Person,40562,Śrīharṣa,,,,,,,,,
Person,85443,Śrīharṣa,,,,,,,,1140,1140
Person,110343,Śrīharṣa,Śrī Harṣa,Ṭhakkura,,,,,,1475,1475
