Collection,Text Name,Alternative Text Names,Author Name,Alternative Author Names,File Size (kb),Link 1 (main),Link 2 (underlying),Link 3 (extract),Work ID,Author ID
GRETIL,Saṅkalpakalpadruma,,Jīva Gosvāmī,Jīva Gosvāmin,115.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/jivskd_u.htm,,,...,85910
GRETIL,Gurukriyākrama,,Atīśa,"Dīpaṃkara Śrījñāna, Dīpaṃkaraśrījñāna",1.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa042_u.htm,,,...,...
GRETIL,Padyacūḍāmaṇi,Siddhārthacaritrakāvya,Buddhaghoṣa,,99.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bghsic_u.htm,,,...,...
GRETIL,Pavanadūta,,Dhoyī,,22.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/dhoypavu.htm,,,...,...
GRETIL,Guhyasamājamaṇḍalavidhi,,Dīpaṃkarabhadra,,53.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/dipguhsu.htm,,,...,...
GRETIL,Rādhākṛṣṇārcanadīpikā,,Jīva Gosvāmī,Jīva Gosvāmin,51.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/jivrkadu.htm,,,...,85910
GRETIL,Śālistambakamahāyānasūtraṭīkā,Āryaśālistambakamahāyānasūtraṭīkā,Nāgārjuna,,100.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/nagsaliu.htm,,,...,85097
GRETIL,Svabodhasiddhi,,Bhūti,Bhūtirāja,3.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bhutisbs_u.htm,,,...,...
GRETIL,Ardhanārīśvarastotra,,Kalhaṇa,,4.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/saiva/kalhans_u.htm,,,...,40913
GRETIL,Gurupañcāśikā,,Aśvaghoṣa,,6.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa045_u.htm,,,...,...
GRETIL,Caryāmelāpakapradīpa,Caryāmelāvaṇapradīpa,Āryadeva,,27,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa048_u.htm,,,...,85099
GRETIL,Sudhālaharī,,Jagannātha Paṇḍitarāja,,8.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/jagsudhu.htm,,,...,40709
GRETIL,Vinayasūtra 1,Pravrajyāvastu,Guṇaprabha,,167.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/bsu058_u.htm,,,...,...
GRETIL,Vajrasūcī,,Aśvaghoṣa,,6.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa020_u.htm,,,...,...
GRETIL,Daśakumāracarita,,Daṇḍin,,285.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/dandkc_u.htm,,,...,96585
